standardized_smiles,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28
CC(C)C12CCC(C)(O)C1C2,Woody,Terpenic,Balsamic,Green,Eucalyptus,Minty,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CC(=O)C(C)CC1,Minty,Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,Acetic,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CC=C(C=O)CC1,Cumin,Spices,Herbal,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CCC(C(=O)O)CC1,Sweaty,Cumin,Spices,Animal,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CCC(C)(O)CC1,Earthy,Woody,Dry,Moldy,Musty,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CCC(CCOC=O)=CC1,Herbal,Floral,Fruity,Sweet,Minty,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1C=CC(=O)CC1,Woody,Spices,Herbal,Cumin,Caraway,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1C=CC(C)(O)CC1,Herbal,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(C(C)O)CC1,Muguet,Rose,Floral,Waxy,Lily of the valley,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(C)(S)CC1=O,Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(C)C23CCC(C)(O)C2C13,Cool,Spices,Minty,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(CO)CC1,Magnolia,Muguet,Grassy,Floral,Fresh,Cumin,Clean,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(O)CC1,Rose,Metallic,Green,Leather,Dusty,Weed,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC2(CCC(=O)O2)CC1,Woody,Herbal,Celery,Lactonic,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC2CC(=O)CCC2C1,Woody,Grapefruit,Rhubarb,Green,Vetiver,Floral,Gardenia,,,,,,,,,,,,,,,,,,,,
CC(C)C1OC(C)(C)OCC1(C)C,Earthy,Woody,Green,Herbal,Fruity,Sawdust,Old wood,Musty,,,,,,,,,,,,,,,,,,,
CC(C)C1OCC(C)(C)C(C(C)C)O1,Woody,Spices,Fruity,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1OCOCC1(C)C,Green,Woody,Herbal,Camphor,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1SSC(C(C)C)S1,Bacon,Smokey,Meaty,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C=C(C=O)c1ccccc1,Rose,Cocoa,Nutty,Honey,Chocolate,Floral,Sweet,Powdery,,,,,,,,,,,,,,,,,,,
CC(C)C=CC(=O)CC(C)C,Animal,Herbal,Tagette,Fruity,Camomile,,,,,,,,,,,,,,,,,,,,,,
CC(C)C=CC(=O)O,Tea,Fruity,Blackberry,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C=CC=O,Woody,Ether,Spices,Apple,Grassy,Cooked,Green,Aldehydic,Cognac,Pungent,Fresh,"Grassy(Green, Sharp)",,,,,,,,,,,,,,,
CC(C)C=O,Cheese,Green,Chocolate,Floral,Aldehydic,Malty,Pungent,Fresh,Pleasant,Fruity,Banana,,,,,,,,,,,,,,,,
CC(C)CC(=O)C(=O)O,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)C(C)O,Chocolate,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)CC(C)C,Sweet Organic Chemical,Ether,Metallic,Pineapple,Green,Vanilla,Fermented,Fruity,Banana,Sweet,Chemical,Ketonic,,,,,,,,,,,,,,,
CC(C)CC(=O)Cc1ccccc1,Woody,Spices,Burnt,Sugar,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)O,Sweet,Sweaty,Rancid,Tropical,Cheese,Dairy,Ripe,Pungent,Stinky,Fruity,Sour,Disgusting,Disagreeable,Acid,,,,,,,,,,,,,
CC(C)CC(=O)OC(C)C,Apple,Fruity,Pineapple,Winey,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)OC1CC(C)CCC1C(C)C,Cool,Woody,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,Earthy,Woody,Apple,Tropical,Green,Cool,Root,Pine,Herbal,Camphor,Oily,Valerian root,Musty,,,,,,,,,,,,,,
CC(C)CC(=O)OC1CCCCC1,Apple,Fruity,Banana,Berry,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)OCC=Cc1ccccc1,Woody,Spices,Apple,Cherry,Yeasty,Fermented,Blueberry,Fruity,Sour,Winey,Melon,Sweet,,,,,,,,,,,,,,,
CC(C)CC(=O)OCCC(C)(C)S,Fruity,Sulphurous,Tropical,Grape,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)OCCCc1ccccc1,Strawberry,Plum,Fruity,Raspberry,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)OCCc1ccccc1,Rose,Apricot,Sweet,Apple,Balsamic,Floral,Ripe,Blueberry,Fruity,Tutty-Fruity,Peach,Pineapple,,,,,,,,,,,,,,,
CC(C)CC(=O)OCc1ccccc1,Earthy,Apple,Moldy,Herbal,Fruity,Sweet,Musty,Powdery,Pineapple,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)OCc1ccco1,Ripe,Berry,Plum,Fruity,Grape,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)SC(C)C,Green,Galbanum,Sulphurous,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(C)CCCC(C)O,Mushroom,Chicken,Green,Floral,Fruity,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(C)O,Alcohol,Pungent,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(O)CC(C)C,Fresh,Ether,Yeasty,Fermented,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(O)Cc1ccccc1,Earthy,Celery,Green,Moldy,Herbal,Floral,Creamy,Musty,,,,,,,,,,,,,,,,,,,
CC(C)CC1CC(C)(O)CCO1,Muguet,Floral,Fresh,Linalool,Natural,Chemical,Clean,,,,,,,,,,,,,,,,,,,,
CC(C)CC1CC(C)CCO1,Rose,Metallic,Green,Herbal,Geranium,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC1CCCC(C)(O)C1,Muguet,Citrus,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC1NC(CC(C)C)SC(CC(C)C)S1,Bacon,Savory,Smokey,Roasted,Meaty,Fried,,,,,,,,,,,,,,,,,,,,,
CC(C)CC1OC(CC(C)C)OC(CC(C)C)O1,Cocoa,Dairy,Chocolate,Berry,Milky,Creamy,Sweet,Vanilla,,,,,,,,,,,,,,,,,,,
CC(C)CC1OCC(C)O1,Earthy,Woody,Ether,Apple,Tropical,Dairy,Moldy,Ripe,Buttery,Creamy,Rummy,Fruity,Sweet,Sour,Musty,Pineapple,,,,,,,,,,,
CC(C)CC1OCC(O)CO1,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC1SC(C)NC(C)S1,Cocoa,Roasted,Meaty,Nutty,Groundnut,Peanut,Hazelnut,,,,,,,,,,,,,,,,,,,,
CC(C)CC1SSC(CC(C)C)S1,Bacon,Nutty,Roasted,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC=C(C=O)C(C)C,Earthy,Woody,Cocoa,Lavender,Tomato,Green,Herbal,Blueberry,Berry,Musty,,,,,,,,,,,,,,,,,
CC(C)CC=C(C=O)c1ccccc1,Cocoa,Rancid,Nutty,Green,Chocolate,Aldehydic,Buttery,Fruity,Sweet,Bitter,Brown,,,,,,,,,,,,,,,,
CC(C)CC=C(CO)C(C)C,Rose,Woody,Herbal,Fresh,Minty,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC=NCCC(C)C,Cocoa,Burnt,Citrus,Fishy,Oily,Sweet,Sea,,,,,,,,,,,,,,,,,,,,
CC(C)CC=O,Ether,Chocolate,Aldehydic,Fruity,Sour,Peach,,,,,,,,,,,,,,,,,,,,,
CC(C)CCC(=O)O,Cheese,Unpleasant,Sour,Pungent,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCC1(C)OCC=CCO1,Lavender,Herbal,Amber,Fresh,Sweet,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCC(=O)O,Cheese,Fruity,Oily,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCC(C)(C)O,Woody,Citrus,Herbal,Floral,Bois de rose,Fresh,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCC(C)CC#N,Citrus,Metallic,Aldehydic,Lemon,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCC(C)CC=O,Citrus,Aldehydic,Lemon,Green,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCC(C)CCOC(=O)Cc1ccccc1,Rose,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCC1=CCC(C)(C=O)CC1,Metallic,Citrus,Green,Aldehydic,Fresh,Waxy,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCCC=O,Green,Fresh,Juicy,Sweet,Orange,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCCCCC=O,Rose,Citrus,Green,Floral,Milky,Waxy,Lemon,Sweet,,,,,,,,,,,,,,,,,,,
CC(C)CCCCCCCCCCC=O,Sweaty,Metallic,Meaty,Citrus,Cooked,Brothy,Waxy,Fruity,Tallow,Beefy,,,,,,,,,,,,,,,,,
CC(C)CCCCCCCCCCOC(CC(C)CCCC(C)(C)O)OCCCCCCCCCCC(C)C,Muguet,Woody,Lily,Milky,Fresh,Sweet,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCCCO,Rose,Orange,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCO,Nutty,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCCOC(=O)CCC(C)C,Waxy,Fruity,Herbal,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCN,Vanilla,Ammonia,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCN=C=S,Green,Cabbage,Pungent,Radish,Horseradish,Vegetable,,,,,,,,,,,,,,,,,,,,,
CC(C)CCO,Fusel,Ether,Burnt,Brandy,Malty,Cognac,Alcohol,Fermented,Pungent,Fruity,Banana,Oily,Winey,Whiskey,Molasses,,,,,,,,,,,,
CC(C)CCOC(=O)C(C)C,Apricot,Honey,Green,Waxy,Estery,Fruity,Banana,Sweet,Pineapple,,,,,,,,,,,,,,,,,,
CC(C)CCOC(=O)C(C)O,Nutty,Fruity,Creamy,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCOC(=O)C=Cc1ccccc1,Earthy,Cocoa,Balsamic,Chocolate,Moldy,Carnation,Floral,Berry,Amber,Fruity,Sweet,Orchid,Musty,Powdery,,,,,,,,,,,,,
CC(C)CCOC(=O)CC(C)C,Apricot,Apple,Tropical,Green,Ripe,Cognac,Estery,Fruity,Banana,Winey,Jammy,Sweet,Mango,Pineapple,,,,,,,,,,,,,
CC(C)CCOC(=O)CC(S)C(=O)OCCC(C)C,Rye bready,Coffee,Yeasty,Fermented,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCOC(=O)CCCc1ccco1,Caramel,Fruity,Buttery,Sweet,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCOC(=O)CCc1ccco1,Rose,Apple,Raisin,Green,Floral,Fruity,Sour,Sweet,Caramel,,,,,,,,,,,,,,,,,,
CC(C)CCOC(=O)Cc1ccccc1,Rose,Cocoa,Animal,Honey,Balsamic,Chocolate,Floral,Castoreum,Sweet,,,,,,,,,,,,,,,,,,
CC(C)CCOC(=O)c1ccccc1,Balsamic,Green,Waxy,Fruity,Sweet,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCOC(=O)c1ccccc1O,Sweet,Woody,Metallic,Green,Herbal,Floral,Winey,Orchid,Grape,,,,,,,,,,,,,,,,,,
CC(C)CCOC(C)OCCC(C)C,Ether,Green,Fermented,Fruity,Alcohol,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCOC(Cc1ccccc1)OCCC(C)C,Green,Herbal,Floral,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCOC=O,Sweet,Earthy,Ether,Dry,Apple,Cortex,Green,"Grassy(Green, Sharp)",Waxy,Estery,Fruity,Plum,Winey,Musty,Sharp,Vinous,,,,,,,,,,,
CC(C)CCOCCc1ccccc1,Metallic,Tropical,Green,Cool,Hyacinth,Water,Leafy,Sweet,Strong,,,,,,,,,,,,,,,,,,
CC(C)CCOCc1ccccc1,Jasmine,Floral,Pea,Gardenia,Fruity,Green Beans,Weed,,,,,,,,,,,,,,,,,,,,
CC(C)CCS,Sulphurous,Onion,Green,Garlic,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCSSCCC(C)C,Onion,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CCc1ccc2c(c1)OCC(=O)CO2,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CN,Cheese,Fishy,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CN=C=S,Sweet Organic Chemical,Green,Mild,Pungent,Radish,Wasabi,Horseradish,Vegetable,Sweet,Chemical,,,,,,,,,,,,,,,,,
CC(C)CO,Ether,Fruity,Winey,Bitter,Whiskey,,,,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)C(C)C,Ether,Tropical,Ripe,Fruity,Banana,Grape,Pineapple,,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)C(C)O,Caramel,Fruity,Buttery,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)C=Cc1ccccc1,Spices,Balsamic,Labdanum,Fruity,Sweet,Peach,,,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)CC(C)C,Ether,Apple,Green,Fruity,Banana,Winey,Sweet,Raspberry,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)CCc1ccco1,Woody,Floral,Fruity,Winey,Pineapple,,,,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)Cc1ccccc1,Rose,Earthy,Woody,Cocoa,Spices,Honey,Chocolate,Moldy,Floral,Amber,Waxy,Fruity,Sweet,Musty,,,,,,,,,,,,,
CC(C)COC(=O)c1ccccc1,Sweet Organic Chemical,Earthy,Rose,Balsamic,Cherry,Chocolate,Moldy,Chemical,Fruity,Sweet,Musty,Powdery,,,,,,,,,,,,,,,
CC(C)COC(=O)c1ccccc1N,Floral,Berry,Fruity,Sweet,Grape,,,,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)c1ccccc1O,Spices,Cool,Herbal,Floral,Sweet,Orchid,Plant,,,,,,,,,,,,,,,,,,,,
CC(C)COC=O,Sweet Organic Chemical,Ether,Fruity,Sweet,Chemical,,,,,,,,,,,,,,,,,,,,,,
CC(C)COc1ccc2ccccc2c1,Earthy,Blossom,Strawberry,Moldy,Floral,Orange Blossom,Moth Balls,Fruity,Sweet,Musty,Orange,,,,,,,,,,,,,,,,
CC(C)CS,Rotten,Sulphurous,Vegetable,Cooked,,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1ccc(CC(C)C=O)cc1,Muguet,Marine,Tropical,Balsamic,Lily,Green,Floral,Oily,,,,,,,,,,,,,,,,,,,
CC(C)Cc1ccc2ccccc2n1,Woody,Animal,Root,Leather,Tobacco,Oak Moss,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1ccc2ncccc2c1,Earthy,Nutty,Green,Vetiver,Root,Leather,Oak Moss,Musty,,,,,,,,,,,,,,,,,,,
CC(C)Cc1ccccn1,Aromatic,Bell Pepper,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1cccnc1,Aromatic,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1ccnc2ccccc12,Green,Leather,Herbal,Animal,,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1cnccn1,Green,Fruity,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1nccs1,Earthy,Privet,Metallic,Tomato,Green,Moldy,Herbal,Wasabi,Waxy,Vegetable,Musty,,,,,,,,,,,,,,,,
CC(C)N,Fishy,Ammonia,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)N=C=S,Alliaceous,Pungent,Radish,Wasabi,Horseradish,Vegetable,Chemical,,,,,,,,,,,,,,,,,,,,
CC(C)O,Earthy,Woody,Moldy,Buttery,Alcohol,Musty,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)C(C)C,Citrus,Pear,Fruity,Sweet,Pineapple,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)C=Cc1ccccc1,Cinnamyl,Tropical,Balsamic,Strawberry,Amber,Berry,Fruity,Peach,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)CC1=CCCCC1,Rose,Honey,Waxy,Sweet,Licorice,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)CCCCC(=O)OC(C)C,Estery,Sour,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)Cc1ccccc1,Rose,Sweet,Ether,Honey,Cortex,Floral,Winey,Powdery,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)c1ccccc1,Balsamic,Fruity,Floral,Sweet,,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)c1ccccc1N,Neroli,Floral,Hawthorn,Honey,,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)c1ccccc1O,Cortex,Green,Floral,Orchid,Plant,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC=O,Ether,Cocoa,Tropical,Fruity,Sweet Solvent,Sweet,Solvent,,,,,,,,,,,,,,,,,,,,
CC(C)OCCOC(=O)c1ccccc1O,Balsamic,Cherry,Herbal,Floral,Sweet,,,,,,,,,,,,,,,,,,,,,,
CC(C)OCCc1ccccc1,Rose,Metallic,Spices,Green,Plastic,Watercress,Foliage,,,,,,,,,,,,,,,,,,,,
CC(C)Oc1cc(C=O)ccc1O,Natural,Vanilla,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)S,Onion,Meaty,Chicken,Alliaceous,Ripe,Pungent,Brothy,Gassy,Sulphurous,Sharp,,,,,,,,,,,,,,,,,
CC(C)SC(C)C,Sulphurous,Vegetable,Garlic,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)SCc1ccco1,Savory,Coffee,Floral,Meaty,,,,,,,,,,,,,,,,,,,,,,,
CC(C)SSC(C)C,Onion,Burnt,Meaty,Cabbage,Alliaceous,Garlic,Sulphurous,,,,,,,,,,,,,,,,,,,,
CC(C)SSSC(C)C,Onion,Green,Garlic,Sulphurous,Leek,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(C#N)cc1,Dry,Spices,Green,Cucumber,Cumin,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(C(C)C=O)cc1,Green,Fresh,Aldehydic,Leafy,,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(C=CC=O)cc1,Spices,Amber,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(C=O)cc1,Woody,Spices,Green,Cucumber,Herbal,Pungent,Cumin,Oily,"Grassy(Green, Sharp)",Acid,Sharp,,,,,,,,,,,,,,,,
CC(C)c1ccc(CC=O)cc1,Earthy,Cortex,Green,Aldehydic,Cumin,Foliage,Musty,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(CCC=O)cc1,Muguet,Floral,Fresh,Fruity,Melon,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(CO)cc1,Spices,Cucumber,Leather,Herbal,Floral,Cumin,Strong,Caraway,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(O)cc1,Woody,Spices,Warm,Medicinal,,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc2ncccc2c1,Earthy,Nutty,Metallic,Cortex,Green,Leafy,Phenolic,Weed,Musty,,,,,,,,,,,,,,,,,,
CC(C)c1cccc(C(C)C)c1O,Phenolic,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1cccc(C(C)CC=O)c1,Muguet,Lily,Green,Floral,Fresh,Linden flower,,,,,,,,,,,,,,,,,,,,,
CC(C)c1cccc(CC=O)c1,Privet,Woody,Cortex,Green,Foliage,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1cccc(O)c(=O)c1,Woody,Phenolic,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccccc1,Shoe Polish,Gasoline,Penetrating,Sharp,,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccccc1O,Woody,Smokey,Burnt,Medicinal,Phenolic,Toasty,Solvent,Rubbery,,,,,,,,,,,,,,,,,,,
CC(C)c1ccccn1,Green,Vegetable,Cortex,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccnc2ccccc12,Earthy,Metallic,Green,Leafy,Musty,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1cnccn1,Green,Nutty,Minty,Honey,,,,,,,,,,,,,,,,,,,,,,,
CC(C=O)=CCC1=C(C)CCCC1(C)C,Woody,Dry,Nutty,Hay,Floral,Leafy,Sweet,Tobacco,Violet,Sweet Tobacco,,,,,,,,,,,,,,,,,
CC(C=O)=CCC1C(C)=CCCC1(C)C,Dry,Nutty,Sweet,Tobacco,Sweet Tobacco,Violet,,,,,,,,,,,,,,,,,,,,,
CC(C=O)=Cc1ccccc1,Spices,Cinnamyl,Balsamic,Herbal,Warm,Cassia,Sweet,,,,,,,,,,,,,,,,,,,,
CC(C=O)=Cc1ccco1,Woody,Spices,Cinnamyl,Medicinal,Herbal,Cassia,,,,,,,,,,,,,,,,,,,,,
CC(C=O)C(C)CC(C)(C)C,Citrus,Aldehydic,Floral,,,,,,,,,,,,,,,,,,,,,,,,
CC(C=O)C1CCCCC1,Green,Dusty,Fresh,Fruity,Pollen,Natural,,,,,,,,,,,,,,,,,,,,,
CC(C=O)CCc1ccccc1,Earthy,Moldy,Floral,Sweet,Musty,,,,,,,,,,,,,,,,,,,,,,
CC(C=O)Cc1ccc(C(C)(C)C)cc1,Muguet,Lily,Green,Water,Floral,Light,Fresh,Cumin,Lily of the valley,Powdery,,,,,,,,,,,,,,,,,
CC(C=O)Cc1ccc(C(C)C)cc1,Earthy,Rhubarb,Green,Moldy,Floral,Vegetable,Musty,Cyclamen,,,,,,,,,,,,,,,,,,,
CC(C=O)Cc1ccc2c(c1)OCO2,Marine,Ozone,Hay,Green,Water,Herbal,Floral,Fresh,Cumin,Fruity,Cyclamen,,,,,,,,,,,,,,,,
CC(C=O)c1ccccc1,Sharp,Green,Hyacinth,Floral,Leafy,Fresh,"Grassy(Green, Sharp)",Lilac,,,,,,,,,,,,,,,,,,,
CC(CC#N)CCCC(C)(C)O,Muguet,Woody,Lily,Floral,Fresh,,,,,,,,,,,,,,,,,,,,,,
CC(CC#N)CCc1ccccc1,Muguet,Metallic,Citrus,Lily,Floral,Sweet,,,,,,,,,,,,,,,,,,,,,
CC(CC(C)(C)C#N)c1ccccc1,Grapefruit,Burnt,Citrus,Vetiver,Leafy,Gardenia,,,,,,,,,,,,,,,,,,,,,
CC(CC=O)CC(C)(C)C,Earthy,Dry,Grassy,Citrus,Powerful,Green,Aldehydic,Pungent,"Grassy(Green, Sharp)",Fresh,Weed,Natural,Musty,Clean,,,,,,,,,,,,,
CC(CC=O)CCCC(C)(C)O,Citrus,Tropical,Lily,Green,Floral,Waxy,Melon,Sweet,,,,,,,,,,,,,,,,,,,
CC(CC=O)CCc1ccccc1,Woody,Lily,Green,Aldehydic,Fresh,Waxy,,,,,,,,,,,,,,,,,,,,,
CC(CC=O)c1ccccc1,Green,Hyacinth,Herbal,Foliage,,,,,,,,,,,,,,,,,,,,,,,
CC(CCCC(C)(C)O)CC1OCC(C)O1,Lily,Floral,Green,Muguet,,,,,,,,,,,,,,,,,,,,,,,
CC(CCO)CC(C)(C)C,Earthy,Woody,Grassy,Hay,Green,Cool,Aldehydic,Herbal,Floral,Berry,"Grassy(Green, Sharp)",Leafy,Camphor,Oily,Melon,Weed,Musty,,,,,,,,,,
CC(CCO)CCCC(C)(C)O,Rose,Lily,Peony,Green,Floral,Sweet,Clean,,,,,,,,,,,,,,,,,,,,
CC(CCO)CCc1ccccc1,Muguet,Rose,Tropical,Honey,Lily,Green,Floral,Fresh,Geranium,,,,,,,,,,,,,,,,,,
CC(CCOC=O)CC(C)(C)C,Green,Woody,Herbal,,,,,,,,,,,,,,,,,,,,,,,,
CC(CO)C1CCCCC1,Muguet,Balsamic,Green,Floral,Geranium,Minty,,,,,,,,,,,,,,,,,,,,,
CC(CO)C1CCCCCCCCCCC1,Woody,Amber,Musk,,,,,,,,,,,,,,,,,,,,,,,,
CC(CO)CC(C)c1ccccc1,Grapefruit,Citrus,Rhubarb,Green,Vetiver,Floral,,,,,,,,,,,,,,,,,,,,,
CC(CO)COC1CC2CCC1(C)C2(C)C,Woody,Dry,Amber,Warm,Powdery,,,,,,,,,,,,,,,,,,,,,,
CC(CO)c1ccccc1,Spices,Honey,Balsamic,Peony,Green,Hawthorn,Floral,Hyacinth,Fruity,Foliage,Sweet,Lilac,,,,,,,,,,,,,,,
CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1,Ether,Metallic,Salmon,Fishy,Algae,Sea,,,,,,,,,,,,,,,,,,,,,
CC(O)C(=O)NCCO,Brown,Roasted,Cooked,,,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(=O)NCCOP(=O)(O)O,Roasted,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(=O)OCc1ccccc1,Fruity,Buttery,Floral,,,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(C)C(C)C(C)C(C)(C)C,Woody,Dry,Amber,Raisin,,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(C)CC1C(C)CCCC1(C)C,Woody,Floral,Amber,Cedar,Violet,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(C)CS,Savory,Onion,Meaty,Sulphurous,Fruity,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(C)Cc1ccccc1,Muguet,Rose,Menthol,Green,Floral,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(C)O,Fruity,Onion,Buttery,Creamy,,,,,,,,,,,,,,,,,,,,,,,
CC(O)C(C)S,Roasted,Onion,Meaty,Alliaceous,Garlic,Sulphurous,,,,,,,,,,,,,,,,,,,,,
CC(O)C(C)SC(C)C(C)S,Roasted,Burnt,Meaty,Brothy,Sulphurous,,,,,,,,,,,,,,,,,,,,,,
CC(O)C1C2CCC(C2)C1(C)C,Earthy,Woody,Vetiver,Herbal,Fresh,Patchouli,Sweet,Musty,,,,,,,,,,,,,,,,,,,
CC(O)C1CCCC(C)(C)C1,Camphor,Minty,,,,,,,,,,,,,,,,,,,,,,,,,
CC(O)C=Cc1ccccc1,Balsamic,Fruity,Floral,Sweet,,,,,,,,,,,,,,,,,,,,,,,
CC(O)CC(=O)OC1CC(C)CCC1C(C)C,Cool,Minty,,,,,,,,,,,,,,,,,,,,,,,,,
CC(O)CC(C)(C)S,Grapefruit,Floral,Lemon,,,,,,,,,,,,,,,,,,,,,,,,
